"Date","Price","Open","High","Low","Vol.","Change %"
"06/09/2021","3,843.28","3,821.80","3,843.41","3,805.82","","0.94%"
"06/08/2021","3,807.43","3,819.52","3,833.17","3,799.07","","-0.39%"
"06/07/2021","3,822.21","3,807.96","3,827.66","3,793.96","","0.39%"
"06/04/2021","3,807.43","3,805.94","3,816.24","3,766.62","","0.05%"
"06/03/2021","3,805.45","3,833.77","3,837.73","3,777.98","","-0.32%"
"06/02/2021","3,817.68","3,771.32","3,817.68","3,769.47","","1.41%"
"06/01/2021","3,764.59","3,739.57","3,784.59","3,739.57","","1.15%"
"05/31/2021","3,721.63","3,713.99","3,731.27","3,713.99","","-0.24%"
"05/28/2021","3,730.55","3,750.46","3,752.80","3,724.52","","-0.22%"
"05/27/2021","3,738.68","3,708.77","3,738.68","3,694.59","","0.74%"
"05/26/2021","3,711.05","3,695.29","3,717.33","3,694.13","","0.66%"
"05/25/2021","3,686.76","3,682.42","3,693.39","3,672.27","","0.66%"
"05/24/2021","3,662.51","3,665.96","3,674.77","3,651.09","","0.06%"
"05/21/2021","3,660.48","3,637.50","3,667.87","3,620.60","","0.67%"
"05/20/2021","3,636.16","3,650.07","3,658.27","3,603.40","","0.04%"
"05/19/2021","3,634.76","3,693.82","3,693.82","3,619.54","","-1.44%"
"05/18/2021","3,687.96","3,670.16","3,700.19","3,670.10","","1.33%"
"05/17/2021","3,639.61","3,645.13","3,658.78","3,618.75","","0.06%"
"05/14/2021","3,637.60","3,654.73","3,659.34","3,623.72","","0.01%"
"05/13/2021","3,637.38","3,634.18","3,647.27","3,600.80","","-0.46%"
"05/12/2021","3,654.14","3,659.63","3,674.35","3,643.22","","0.06%"
"05/11/2021","3,652.05","3,644.29","3,658.81","3,625.97","","-1.16%"
"05/10/2021","3,694.78","3,684.18","3,713.49","3,675.13","","0.33%"
"05/07/2021","3,682.69","3,678.19","3,688.81","3,667.77","","0.67%"
"05/06/2021","3,658.27","3,636.71","3,661.28","3,634.45","","0.40%"
"05/05/2021","3,643.56","3,602.17","3,644.15","3,600.88","","1.85%"
"05/04/2021","3,577.21","3,557.62","3,594.69","3,556.08","","0.94%"
"04/30/2021","3,544.00","3,574.03","3,584.64","3,536.53","","-0.76%"
"04/29/2021","3,571.05","3,609.38","3,616.95","3,565.58","","-0.20%"
"04/28/2021","3,578.12","3,608.89","3,613.11","3,558.24","","-0.62%"
"04/27/2021","3,600.60","3,615.57","3,627.91","3,586.39","","-0.29%"
"04/26/2021","3,610.98","3,603.13","3,613.37","3,589.27","","0.38%"
"04/23/2021","3,597.17","3,598.76","3,600.18","3,579.25","","-0.09%"
"04/22/2021","3,600.35","3,576.69","3,607.75","3,557.88","","1.08%"
"04/21/2021","3,561.72","3,554.83","3,572.63","3,545.15","","0.26%"
"04/20/2021","3,552.41","3,581.37","3,596.19","3,536.41","","-0.61%"
"04/19/2021","3,574.08","3,598.47","3,605.49","3,565.39","","-0.68%"
"04/16/2021","3,598.44","3,578.01","3,598.44","3,564.97","","0.84%"
"04/15/2021","3,568.51","3,532.13","3,578.77","3,527.50","","-0.23%"
"04/14/2021","3,576.89","3,567.53","3,576.89","3,546.86","","1.43%"
"04/13/2021","3,526.30","3,533.30","3,542.63","3,511.23","","0.10%"
"04/12/2021","3,522.65","3,476.51","3,541.70","3,472.37","","1.05%"
"04/09/2021","3,486.03","3,510.20","3,511.27","3,480.85","","-0.62%"
"04/08/2021","3,507.83","3,513.21","3,528.39","3,495.34","","0.21%"
"04/07/2021","3,500.34","3,484.22","3,518.13","3,460.39","","0.18%"
"04/06/2021","3,493.89","3,536.26","3,541.04","3,484.84","","-0.88%"
"04/05/2021","3,524.93","3,555.24","3,555.83","3,516.22","","-0.94%"
"04/02/2021","3,558.22","3,553.89","3,564.31","3,538.01","","0.87%"
"04/01/2021","3,527.54","3,556.28","3,576.79","3,526.22","","-0.40%"
"03/31/2021","3,541.72","3,525.56","3,542.00","3,510.40","","0.47%"
"03/30/2021","3,525.23","3,535.72","3,549.09","3,504.06","","-0.12%"
"03/29/2021","3,529.33","3,500.41","3,535.21","3,498.62","","1.13%"
"03/26/2021","3,489.83","3,476.01","3,500.74","3,476.01","","1.47%"
"03/25/2021","3,439.30","3,477.87","3,479.83","3,434.84","","-1.32%"
"03/24/2021","3,485.33","3,459.99","3,489.96","3,445.92","","0.52%"
"03/23/2021","3,467.21","3,481.11","3,483.34","3,450.98","","-0.63%"
"03/22/2021","3,489.07","3,479.06","3,498.17","3,469.09","","0.40%"
"03/19/2021","3,475.26","3,473.84","3,495.98","3,448.99","","-0.84%"
"03/18/2021","3,504.85","3,533.69","3,551.30","3,494.99","","-0.09%"
"03/17/2021","3,507.91","3,579.06","3,587.24","3,498.17","","-2.28%"
"03/16/2021","3,589.83","3,600.68","3,602.18","3,544.29","","0.15%"
"03/15/2021","3,584.49","3,562.69","3,596.31","3,558.62","","1.27%"
